[2025-05-02T22:49:09.909+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895180.json introuvable, j’ignore.
[2025-05-02T22:49:10.191+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895180.json introuvable, j’ignore.
[2025-05-02T22:49:10.560+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895134.json introuvable, j’ignore.
[2025-05-02T22:49:10.877+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895134.json introuvable, j’ignore.
[2025-05-02T22:49:11.231+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895121.json introuvable, j’ignore.
[2025-05-02T22:49:11.566+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895121.json introuvable, j’ignore.
[2025-05-02T22:49:11.891+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895107.json introuvable, j’ignore.
[2025-05-02T22:49:12.357+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895107.json introuvable, j’ignore.
[2025-05-02T22:49:12.678+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895074.json introuvable, j’ignore.
[2025-05-02T22:49:12.915+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895074.json introuvable, j’ignore.
[2025-05-02T22:49:13.186+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895139.json introuvable, j’ignore.
[2025-05-02T22:49:13.391+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895139.json introuvable, j’ignore.
[2025-05-02T22:49:13.623+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895086.json introuvable, j’ignore.
[2025-05-02T22:49:13.916+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895086.json introuvable, j’ignore.
[2025-05-02T22:49:14.164+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895320.json introuvable, j’ignore.
[2025-05-02T22:49:14.391+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895320.json introuvable, j’ignore.
[2025-05-02T22:49:14.621+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895309.json introuvable, j’ignore.
[2025-05-02T22:49:14.883+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895309.json introuvable, j’ignore.
[2025-05-02T22:49:15.119+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895258.json introuvable, j’ignore.
[2025-05-02T22:49:15.324+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895258.json introuvable, j’ignore.
[2025-05-02T22:49:15.537+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895244.json introuvable, j’ignore.
[2025-05-02T22:49:15.760+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895244.json introuvable, j’ignore.
[2025-05-02T22:49:16.043+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895232.json introuvable, j’ignore.
[2025-05-02T22:49:16.420+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895232.json introuvable, j’ignore.
