[2025-05-03T00:07:05.509+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895180.json introuvable, j’ignore.
[2025-05-03T00:07:05.797+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895134.json introuvable, j’ignore.
[2025-05-03T00:07:06.025+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895134.json introuvable, j’ignore.
[2025-05-03T00:07:06.252+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895121.json introuvable, j’ignore.
[2025-05-03T00:07:06.462+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895121.json introuvable, j’ignore.
[2025-05-03T00:07:06.669+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895107.json introuvable, j’ignore.
[2025-05-03T00:07:06.881+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895107.json introuvable, j’ignore.
[2025-05-03T00:07:07.062+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895074.json introuvable, j’ignore.
[2025-05-03T00:07:07.241+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895074.json introuvable, j’ignore.
[2025-05-03T00:07:07.490+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895139.json introuvable, j’ignore.
[2025-05-03T00:07:07.693+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895139.json introuvable, j’ignore.
[2025-05-03T00:07:07.953+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895086.json introuvable, j’ignore.
[2025-05-03T00:07:08.160+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895086.json introuvable, j’ignore.
[2025-05-03T00:07:08.365+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895320.json introuvable, j’ignore.
[2025-05-03T00:07:08.587+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895320.json introuvable, j’ignore.
[2025-05-03T00:07:08.789+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895309.json introuvable, j’ignore.
[2025-05-03T00:07:08.989+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895309.json introuvable, j’ignore.
[2025-05-03T00:07:09.179+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895258.json introuvable, j’ignore.
